,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
322,02469800,0.7442386243973328,0.020380176335889587,0.810763681737409,0.050709038972854614,0.08848151834525272,4.627199649810791,4.1706976961654885,0,0,735,482,293,169,-3.665160302486494,-3.2195355682061266
323,04024430,0.5303183651403297,0.07843551995965253,0.4505928545673175,0.1012534350156784,0.20376587509914085,2.8350961208343506,1.773608007017467,0,0,10,2,302,23,-2.8783850331265417,-1.5798005059754296
324,04213000,0.4028109254137139,0.3025979009049564,0.3846890128905621,0.05184175819158554,0.3358760673509217,6.7502288818359375,2.989721047862596,0,0,959,0,313,36,-4.106398027665645,-1.7856547261415285
325,04256000,0.6921971716785646,0.08557901742332509,0.8389768691746918,0.40486153960227966,0.5184954635769244,7.319470405578613,6.111597496463382,0,0,66,0,83,41,-2.132513238868767,-1.8583833103718272
326,03010655,0.7137216297088342,-0.04997227400081183,0.7661914291308073,0.0957479253411293,0.4333014656942806,4.7309050559997505,4.204010756624537,0,0,740,0,119,39,-3.458096778543368,-1.7419383633296068
327,03026500,0.7238014173586796,0.029522314605193573,0.8202778484430482,0.10486962646245956,0.4157409210512995,5.424291133880615,4.699588300434932,0,0,703,0,81,51,-3.2437618447214356,-1.9324428307251251
328,03076600,0.7511315705900545,-0.07912756513200878,0.7891315236653645,0.11015710979700089,0.3579179935839454,6.244168758392323,5.503274289188339,0,0,878,20,145,46,-3.480674867725836,-2.4678628223949377
329,03140000,0.5820569899814405,0.00701630980694207,0.6652753347207049,0.024320678785443306,0.2121109224879104,3.4048948287963867,2.775547732757198,0,0,1022,10,217,73,-4.039953277327252,-2.1008904213834434
330,03281500,0.6730243227501467,0.07017097634865944,0.6282652129244533,0.009555033408105373,0.13157116845136277,4.726469039916985,3.434367069133292,11,0,1108,354,283,82,-4.367035971676674,-2.4794460377769405
331,03473000,0.7565843632076811,0.06004837671652782,0.940678404853934,0.27446475625038147,0.2878382439416282,3.805079698562622,3.380899703863239,0,0,16,70,41,26,-2.4235058081570826,-2.231271534638127
332,05501000,0.6685144894568062,-0.06104607310954968,0.5887797491286013,0.006406996864825487,0.05905180053464009,3.470456600189209,2.8075128979572757,0,0,1264,523,690,187,-5.463058665446264,-3.097452345652057
333,05508805,0.6631406645482554,-0.22879807488227594,0.6274967300323266,0.002018515020608902,0.06407978462649933,2.825921058654785,3.128751017230564,42,0,1390,441,662,183,-5.578082014481236,-2.914774857335959
334,06440200,0.12320972922354423,0.5009914120193123,0.14037350623835634,0.0,0.0041602803136889695,0.22798438370227814,0.10393121709577159,2320,14,2417,235,1819,129,-inf,-2.5830406639602668
335,06623800,0.6899489537546419,-0.370913187835719,1.2005094772162515,0.1949859857559204,0.2460656676288144,8.449392318725586,10.288757299241817,0,0,0,0,664,820,-2.039225710520418,-2.871747733401667
336,06814000,0.5694352048402862,-0.06035846026537819,0.6275432605397084,0.0029754813062027106,0.019075502273868422,1.3052399754524193,1.4288150821891665,9,0,1073,585,538,290,-4.453563316282033,-3.6079914604218586
337,06876700,-0.31710613733772974,-0.04624829121123433,1.1364514817726383,0.0022887494415044785,0.0069815568679497545,0.48752825856208665,0.41902568089436126,0,1,691,386,400,265,-3.2437618900455867,-2.8462659326956254
338,07066000,0.5919456234456841,-0.09393442846755552,1.2155163047033888,0.3039298951625824,0.13831836145431398,3.2316296577453483,3.785091968163173,0,0,0,269,116,129,-1.993031575686833,-2.6087142656120155
339,07167500,0.553919866545075,0.17053864972320312,0.5415499136133691,0.003369881771504879,0.032861863361524565,2.942785906791659,2.170268325063928,0,0,1380,503,597,252,-5.663482221849637,-2.9774089894062055
340,08178880,0.5256695571880469,0.4060186838650929,0.4152374243210196,0.014117857441306114,0.01330455324444455,1.2625397324562042,0.8633877658666289,16,0,582,225,201,465,-3.0959127145857686,-3.56521260924641
341,08377900,0.41950756572242853,-0.3905397008968225,1.1727102152252387,0.07638417184352875,0.12772731884378669,2.469162702560425,2.8828355242990304,0,0,108,0,326,162,-2.534084884575003,-2.9501398422424576
342,09510200,0.7100275753677474,0.0712978814009274,0.788694588420811,0.0,0.01236681949388558,0.3463196843862502,0.2506557576969855,1074,0,1435,22,1597,219,-7.530020087101866,-1.2965737905465673
343,09512280,0.23383056842449657,-0.0044748357360335275,0.3794270370487662,0.0,0.011186081340233078,0.07427700608968735,0.1362820414074463,3112,0,3112,7,5479,152,-inf,-1.1397367076330134
344,10234500,0.5580535613414145,-0.19334877312933213,1.3894138020961615,0.15577451884746552,0.11425584208528111,1.557745099067688,2.446959652031124,0,0,0,0,149,383,-1.5796876759796146,-2.0307977836836297
345,10336645,0.4742951457353275,0.43251212205205686,0.46531000670789724,0.10161634534597397,0.13063715403872111,10.288655281066895,4.849690392566585,0,0,35,1,950,344,-5.149654972529811,-3.39308123991663
346,12013500,0.8714848627688719,-0.04737990293787175,0.9995672117821124,0.20354536175727844,0.4010982221166526,18.827945709228516,18.887045701472427,0,0,1161,712,232,190,-4.572189878562214,-3.922262280337736
347,12143600,0.6685973001238079,0.14792263195967564,0.6347096858029341,0.8891045451164246,0.9446907789241669,17.495283126831055,12.660367027793717,0,0,193,221,48,19,-2.429753014285953,-1.732119546464161
348,12147500,0.5273148796295938,0.3550715312550867,0.6635770849677693,1.4187323570251473,0.5455393505349215,20.582277297973633,15.418847114986416,0,0,230,630,26,34,-1.7811715423596035,-2.488001548534169
349,12381400,0.5230425897947635,-0.598747302862392,1.3689838381455,0.13314826786518102,0.3153693998657022,4.590155601501465,6.469430523910379,0,0,42,0,415,205,-2.667753751061875,-2.2062498441674925
350,12447390,0.606208317069937,0.11862480102777404,0.6583239677210206,0.12828490138053894,0.2506799480216332,7.3550004959106445,5.006776040774641,0,0,65,0,693,309,-2.729656076151732,-2.4049506633042577
351,12488500,0.5895039742340697,0.0785029685303855,0.9594297743403729,0.4791037142276764,0.41414385518689195,9.701849937438965,9.987374223621543,0,0,2,36,98,162,-2.6558366714036494,-2.5683300006230474
352,13011500,0.7746901218329811,0.07145447791447465,0.7048047658306676,0.16775716841220856,0.21489221573090425,8.61153507232666,6.610792267747757,0,0,0,0,748,581,-1.912944661477848,-2.5823556030571795
353,14400000,0.7895503833956155,0.25604784018487964,0.6879628049771621,0.2580530345439911,0.2938733589040614,32.11714172363281,21.465284847375994,0,0,1431,1118,380,192,-5.94277022832701,-4.524496330999326
354,11266500,0.778237175798459,0.09056280470266988,0.8803133890829371,0.052992451936006546,0.16345270609508686,8.979276657104492,7.238585626252898,0,0,1121,66,611,397,-5.191421713684889,-3.5229158190787158
355,01195100,0.6362187148281995,-0.05008103887191967,0.7071877128991457,0.036603353917598724,0.4531678759374182,5.174383258819489,4.15156821210882,19,0,1209,0,107,18,-3.7651710821711792,-1.9368127736243257
356,01423000,0.7786048004710923,0.0184125782208313,0.7736076265942179,0.11101280152797699,0.501462244787684,6.068699836730926,5.3996517201503895,0,0,678,0,90,49,-2.8123596767162087,-1.8394225004080613
357,01544500,0.7322922603902773,0.0884797528236709,0.6696125299151859,0.07643641531467438,0.3665192521022124,5.455475473403927,4.125874974293798,0,0,925,0,121,39,-3.3291280855907224,-1.9228323483651517
358,01547700,0.6582618602749479,0.10844499288116237,0.5352170238149015,0.03642980754375458,0.2668387478743032,4.7144455909729,3.0921675879842994,0,0,1138,2,238,46,-4.324595031139107,-2.039500319183252
359,01580000,0.5579147191319362,0.05727788903983841,0.9430485370029533,0.3303607702255249,0.1943702406687372,3.023301839828491,3.5506782535905246,0,0,98,223,31,31,-1.8035357016341778,-2.409792739710626
360,01591400,0.459615317609516,0.04544292468679225,0.6501512170677759,0.18157821893692017,0.14420633832150978,2.4347987174987793,2.9637338935524955,0,0,223,254,72,57,-1.9815954231129058,-2.4997679281368224
361,02018000,0.7195768185964988,0.06146383974788924,0.7149344068225794,0.10915263742208481,0.13495670241087998,3.7341692447662354,2.9685461133425655,0,0,163,235,194,75,-3.5791919058325314,-2.5374209346426544
